A_x,A_y,A_z,CGHeight,ChassisPitchAngle,ChassisRollAngle,time,TireLoadFL,TireLoadFR,TireLoadRL,TireLoadRR
0.43,0.03,0.03,423,1.54,1.58,0,2005,2377,2906,2905
0.52,0.02,0,423.4,1.59,1.58,0.05,1943,2317,2861,2772
0.51,0.04,-0.01,424,1.65,1.57,0.1,1888,2280,2903,2735
0.52,0.02,-0.01,424.2,1.67,1.58,0.15,1886,2320,2847,2717
0.55,0.07,-0.01,424.4,1.71,1.59,0.2,1879,2352,2862,2775
0.55,0.07,0.01,424.4,1.77,1.58,0.25,1859,2299,2869,2956
0.54,0.08,-0.01,424.6,1.79,1.56,0.3,1888,2252,2834,2920
0.58,0.07,-0.01,424.9,1.81,1.53,0.35,1920,2219,2810,2925
0.58,0.06,0,425,1.84,1.52,0.4,1880,2211,2879,2968
0.6,0.06,-0.01,425.2,1.85,1.52,0.45,1852,2225,2825,2956
0.59,0.08,-0.01,425.4,1.85,1.53,0.5,1834,2249,2770,2953
0.58,0.11,-0.01,425.6,1.86,1.54,0.55,1821,2261,2775,2978
0.62,0.1,-0.01,425.7,1.87,1.54,0.6,1804,2275,2772,3000
0.62,0.12,-0.01,425.8,1.89,1.54,0.65,1741,2272,2785,3030
0.64,0.12,-0.02,426.2,1.9,1.52,0.7,1658,2290,2822,3002
0.59,0.12,-0.02,426.2,1.9,1.5,0.75,1670,2333,2833,2964
0.6,0.11,-0.02,426.3,1.88,1.46,0.8,1703,2260,2862,2903
0.62,0.09,-0.01,426.3,1.85,1.42,0.85,1722,2255,2881,2910
0.63,0.07,-0.02,426.3,1.83,1.4,0.9,1730,2226,2887,2916
0.62,0.07,-0.02,426.4,1.79,1.38,0.95,1785,2162,2845,2905
0.6,0.14,0.15,423.1,1.78,1.21,1,2453,3445,3004,2708
0.6,0.05,0.2,421.6,1.9,1.06,1.05,2652,3176,3220,2555
0.6,-0.03,0.05,422.9,2.26,0.96,1.1,2110,2438,3258,2532
0.67,0.01,-0.31,431.7,2.75,0.88,1.15,365,986,3310,2527
0.69,-0.01,-0.32,434.8,2.82,0.85,1.2,402,983,3333,2478
0.79,0.09,0.11,430,2.69,0.74,1.25,1680,2064,3837,3989
0.61,-0.04,0.2,424,2.11,0.56,1.3,2252,2286,3747,3251
0.47,-0.01,-0.01,425.5,1.71,0.59,1.35,2158,2247,1956,2667
0.29,0.01,-0.37,432.9,1.24,0.58,1.4,2183,2226,934,912
0.1,0.05,-0.08,430,1.27,0.58,1.45,2353,2394,2178,2368
0,0.05,0.09,425.4,1.33,0.58,1.5,2569,2980,2627,2784
-0.05,0.04,0.23,419.5,1.38,0.52,1.55,3099,3291,2847,2683
-0.05,0.02,0.06,418.7,1.49,0.52,1.6,2682,2927,2338,2290
-0.02,0.03,-0.01,419.7,1.58,0.53,1.65,2470,2742,2233,2225
0.01,0.03,-0.01,420.4,1.74,0.53,1.7,2375,2642,2303,2598
0.39,0.04,0.11,419.6,1.92,0.45,1.75,2394,2389,3102,3046
0.63,0.01,0.08,420.5,1.98,0.44,1.8,2185,2220,3089,3074
0.71,0.02,-0.01,423.2,2.07,0.45,1.85,1796,1910,2986,3073
0.3,0.03,-0.1,425.8,2.06,0.47,1.9,1912,2157,2413,2513
0.33,0.05,-0.06,425.9,2.01,0.46,1.95,2049,2365,2455,2500
0.38,0.05,-0.02,425.6,1.97,0.43,2,2151,2317,2676,2643
0.39,0.04,0.01,424.9,1.93,0.43,2.05,2131,2312,2778,2789
0.43,0.03,0,424.9,1.91,0.42,2.1,2114,2293,2673,2776
0.4,0.04,0.07,423.7,1.9,0.36,2.15,2592,2764,2647,2578
0.39,0.01,0.02,423.9,2.08,0.31,2.2,2276,2388,2766,2648
0.42,0.02,0,424.5,2.21,0.32,2.25,2080,2256,2789,2749
0.41,0.05,0.03,424.7,2.4,0.33,2.3,2012,2188,2927,3259
0.4,0.01,0.04,424.5,2.46,0.3,2.35,2169,2020,2983,3062
0.37,0.03,0,425.1,2.41,0.34,2.4,2209,2126,2611,2859
0.42,0.04,-0.05,426.2,2.32,0.39,2.45,2106,2188,2381,2751
