Time [s],CG Height [in],Pitch Angle [deg],Roll Angle [deg],Tire Load FL [lbf],Tire Load FR [lbf],Tire Load RL [lbf],Tire Load RR [lbf],Damper u1 [ft],Damper u2 [ft],Damper u3 [ft],Damper u4 [ft]
0,0,0,0,585.117,585.117,498.433,498.433,0,0,0,0
0.05,-0.007901806,0.088299216,0.014161472,537.0223169,548.5640377,558.4384888,570.0747424,0.003179887,0.002394885,-0.004020379,-0.00481193
0.1,0.00093578,0.267623191,0.035554767,465.0982046,486.722104,617.7058053,639.455763,0.00845717,0.006938424,-0.008520087,-0.010048247
0.15,0.036304075,0.386847254,0.05576278,441.0043683,468.4398307,605.6256209,632.9181826,0.010393503,0.008398694,-0.007824571,-0.00981036
0.2,0.074486081,0.423755514,0.057955132,452.6684889,476.0155808,577.738834,600.6287691,0.00957469,0.007929988,-0.005815427,-0.007428169
0.25,0.09432109,0.432625715,0.085364705,455.7926589,498.4284461,562.4343779,604.5066599,0.009345778,0.006339364,-0.004616774,-0.007582503
0.3,0.088710965,0.440384906,0.116217289,461.6192115,515.9765835,568.4618221,622.1315614,0.008906813,0.005013501,-0.005041157,-0.008885986
0.35,0.087785339,0.447115447,0.133157459,458.7942987,513.4772505,568.5575135,622.066537,0.009090183,0.005122527,-0.005042031,-0.008927026
0.4,0.093636023,0.461272969,0.126411409,456.3304837,499.4930013,577.0174847,618.4681166,0.00929638,0.006133043,-0.005621802,-0.008663352
0.45,0.095761206,0.475266456,0.107001463,460.249023,492.1772053,586.8801671,616.8497662,0.009002866,0.006676819,-0.006357715,-0.008542746
0.5,0.100821127,0.486845891,0.098315267,455.6376955,489.4592617,585.1488841,617.2135349,0.009306283,0.006910845,-0.006285472,-0.008553005
0.55,0.106981857,0.490358571,0.119519763,446.0945384,499.4990171,570.960611,623.036541,0.00998263,0.006230276,-0.005295889,-0.008951062
0.6,0.110742702,0.489226713,0.161928947,436.7322283,512.0124226,558.2574209,632.3254976,0.010673619,0.00528261,-0.004317899,-0.009622004
0.65,0.111854788,0.498831824,0.183754504,432.5771955,508.2170754,565.0296071,639.0260809,0.010984183,0.005529317,-0.004776082,-0.010114668
0.7,0.113646056,0.511598675,0.19501983,427.9846948,503.9630761,568.3980691,642.1567624,0.011303959,0.005825901,-0.005043837,-0.010363506
0.75,0.122194137,0.521282238,0.199811827,423.1263082,498.2349057,564.745854,637.2902871,0.011683567,0.006263113,-0.004813942,-0.010050459
0.8,0.131080079,0.513762001,0.198797065,429.0080378,501.1992149,555.844455,625.2591096,0.011283716,0.006057445,-0.004154333,-0.009180998
0.85,0.133642452,0.506323879,0.186630443,437.3728074,500.3865025,560.9297041,621.0144774,0.010689327,0.006095055,-0.004449537,-0.008833048
0.9,0.127265505,0.511235447,0.159210306,445.652816,492.788254,579.3469611,623.4912057,0.010073909,0.006610365,-0.005773799,-0.009021601
0.95,0.126218272,0.520905304,0.126232164,447.1107161,480.9534108,588.0973898,619.1471982,0.009948059,0.007483712,-0.006461959,-0.008723717
1,0.110679387,0.52272228,0.120139308,462.77923,507.5009833,598.9413919,641.5346266,0.008994524,0.005906121,-0.007109522,-0.010041604
1.05,-0.010738877,0.509120706,0.16698322,532.7409099,609.6934897,656.5387461,731.8660201,0.004101749,-0.001460609,-0.011121423,-0.016565796
1.1,-0.149319048,0.478753568,0.136188195,597.55366,630.594366,707.3761729,738.1844949,-0.000839621,-0.003499893,-0.01505926,-0.017562489
1.15,-0.098045659,0.447739035,0.023096815,520.8415441,487.0232008,624.9174359,588.191499,0.003916173,0.006237285,-0.009793835,-0.00726334
1.2,0.236768692,0.468666106,-0.031436761,292.2607848,261.7562558,428.4002516,395.9513575,0.020400733,0.022666366,0.004502893,0.006914641
